id,en,es,fr,de,it,pt,nl,el,ru,tr,ko,vi,hi,zh,ja,hr,sr,bg,mk,cs,da,fi,no,sv,bn,hu,id,ro,uk,pl,bs,lv,tl,mr,gu,fa,ar,he,ur
public.global.poweredBy,Powered by,Impulsado por,Realisé par,Betrieben von,Powered by,Powered by,Powered by,Powered by,Powered by,Powered by,Powered by,Cung cấp bởi,द्वारा संचालित,由 () 支持,提供,Omogućio korisnik,Омогућено од,Със съдействието на,Овозможено од,Funguje na,Drevet af,Palvelun tarjoaa,Leveres av,Drivs av,দ্বারা চালিত,Powered by,Dipersembahkan oleh,Cu sprijinul,На платформі,Powered by,Омогућено од,Powered by,Pinatatakbo ng,द्वारा समर्थित,દ્વારા સંચાલિત,طراحی شده توسط,مشغل بواسطة,מופעל על ידי,کی جانب سے
public.global.thankYou,Thank you,Gracias,Merci,Danke,Grazie,Obrigado,Bedankt,Ευχαριστούμε,Спасибо,Tesekkur ederiz,감사합니다,Cảm ơn,धन्यवाद,谢谢,ありがとうございます,Hvala,Хвала,Благодарим Ви,Ви благодариме,Děkuji,Mange tak,Kiitos,Takk,Tack,ধন্যবাদ,Köszönöm,Terima Kasih,Mulțumesc,Дякую,Dziękujemy,Хвала,Paldies,Salamat,धन्यवाद,આભાર,از شما متشکریم,شكراً,תודה,شکریہ
public.global.discount,Discount,Descuento,Promotion,Rabatt,Sconto,Desconto,Korting,Έκπτωση,Скидка,indirim,할인,Chiết khấu,छूट,折扣,割引,Popust,Попуст,Отстъпка,Попуст,Sleva,Rabat,Alennus,Rabatt,Rabatt,ছা়ড়,Kedvezmény,Diskon,Reducere,Знижка,Zniżka,Попуст,Atlaide,Diskwento,सवलत,ડિસ્કાઉન્ટ,تخفیف,الخصم,הנחה,رعایت/چھوٹ
public.global.viewOrder,View order,Ver pedido,Voir ma commande,Bestellung ansehen,Visualizzare l'ordine,Ver pedido,Bekijk bestelling,Προβολή παραγγελίας,Посмотреть заказ,Siparis Goruntule,주문 보기,Xem đơn hàng,ऑर्डर देखें,查看订单,注文内容を確認,Pogledajte red,Погледај поруџбину,Виж поръчката,Погледни ја порачката,Zobrazit objednávku,Se ordre,Tarkastele tilausta,Se bestilling,Se order,অর্ডার দেখুন,Rendelés megtekintése,Lihat pesanan,Vezi comanda,Дивитися замовлення,Wyświetl zamówienie,Погледај поруџбину,Skatīt pasūtījumu,Tingnan ang order,ऑर्डर पहा,ઓર્ડર જુઓ,مشاهده سفارش,عرض الطلب,הצג הזמנה,آرڈر دیکھیں
public.global.errorH2,Something went wrong,Algo salió mal,Une erreur est survenue,Etwas ist schief gegangen,Qualcosa è andato storto,Algo correu mal,Er ging iets mis,Κάτι πήγε στραβά,Произошла ошибка,Bir hata olustu,오류가 발생하였습니다,Có gì đó đã sai,कुछ गलत हो गया,出错了,何かがうまくいきませんでした,obavijest,Обавештење,Нещо се обърка,Известување,Něco se pokazilo,Noget gik galt,Jokin meni pieleen,Noe gikk galt,Något fick snett,কিছু ভুল হয়েছে,Valami nem sikerült,Ada yang salah,Ceva n-a mers bine,Щось пішло не так,Coś poszło nie tak,Обавештење,Notikusi kļūda,May maling nangyari,काहीतरी चूक झाली,કંઈક ખોટું થયું,مشکلی رخ داد,هناك خطأ,משהו השתבש,کچھ غلط ہے
public.global.errorUnexpected,Something unexpected happened,Algo inesperado sucedió,Une erreur imprévue est survenue,Etwas unvorhergesehenes ist passiert,È successo qualcosa di inaspettato,Erro inesperado,Er is iets onverwachts gebeurt,Κάτι απροσδόκητο συνέβη,Произошла ошибка,Beklenmedik bir hata olustu,예기치 않은 에러,Có gì đó bất ngờ xảy ra,कुछ अप्रत्याशित हुआ,出错了,予期せぬことが起こりました,Dogodilo se nešto neočekivano,Десило се нешто неочекивано,Стана нещо непредвидено,Се слчучи нешто неочекувано,Stalo se něco neočekávaného,Der skete noget uventet,Jotain odottamatonta tapahtui,Noe uventet skjedde,Något oförutsett inträffade,অপ্রত্যাশিত কিছু ঘটেছিল,Valami váratlan történt,Sesuatu yang tak terduga terjadi,Ceva neașteptat s-a întâmplat,"Ой, щось сталося",Stało się coś nieoczekiwanego,Десило се нешто неочекивано,Notikusi kļūda,May di inaasahang nangyari,काहीतरी अनपेक्षित घडले,કંઈક અણધાર્યું થયું,اتفاقی غیر منتظره ای رخ داد,حدث شيء غير متوقع,קרה משהו בלתי צפוי,کچھ غیر متوقع طور پر ہوا
public.global.errorExpected,Something unexpected happened,Algo inesperado sucedió,Une erreur imprévue est survenue,Etwas unvorhergesehenes ist passiert,È successo qualcosa di inaspettato,Erro inesperado,Er is iets onverwachts gebeurt,Κάτι απροσδόκητο συνέβη,Произошла ошибка,Beklenmedik bir hata olustu,예기치 않은 에러,Có gì đó bất ngờ xảy ra,कुछ अप्रत्याशित हुआ,出错了,予期せぬことが起こりました,Dogodilo se nešto neočekivano,Десило се нешто неочекивано,Стана нещо непредвидено,Се случи нешто неочекувано,Stalo se něco neočekávaného,Der skete noget uventet,Jotain odottamatonta tapahtui,Noe uventet skjedde,Något oförutsett inträffade,অপ্রত্যাশিত কিছু ঘটেছিল,Valami váratlan történt,Sesuatu yang tak terduga terjadi,Ceva neașteptat s-a întâmplat,"Ой, щось сталося",Stało się coś nieoczekiwanego,Десило се нешто неочекивано,Notikusi kļūda,May di inaasahang nangyari,काहीतरी अनपेक्षित घडले,કંઈક અણધાર્યું થયું,اتفاقی غیر منتظره ای رخ داد,حدث شيء غير متوقع,קרה משהו בלתי צפוי,
public.global.errorMustSelectOne,You must select one value,Debe seleccionar un valor,Veuillez sélectionner une valeur,Sie müssen einen Wert/Betrag auswählen,Deve selezionare un valore,Tem de seleccionar um valor,Je moet een waarde selecteren,Πρέπει να επιλέξετε μία τιμή,"Пожалуйста, выберите один вариант",Bir secim yapmalisiniz,값을 선택하십시오,Bạn phải lựa chọn một giá trị,आपको एक मान चुनना होगा,您需要选择一项,いずれか一つを選択してください,Morate odabrati jednu od ponuđenih opcija,Морате изабрати једну од понуђених опција,Посочете стойност,Морате да одберете една од понудените опции,Musíte vybrat jednu hodnotu,Du skal vælge en værdi,Sinun on valittava yksi luku,Du må velge en veri,Du måste välja ett värde,আপনাকে অবশ্যই একটি নির্বাচন করতে হবে,Kérem egy értéket válasszon,Anda harus memilih satu nilai,Trebuie să selectați o valoare,Ви повинні вибрати одну позицію,Konieczne jest wybranie jednej wartości,Морате изабрати једну од понуђених опција,"Lūdzu, izvēlieties vienu variantu",Dapat kang pumili ng isa,आपण एक मूल्य निवडणे आवश्यक आहे,તમારે એક મૂલ્ય પસંદ કરવું જોઈએ,مقداری را انتخاب نمایید,يجب عليك اختيار قيمة واحدة,עליכם לבחור ערך אחד,آپ کسی ایک چيز کو لآزمی منتخب کریں 
public.select.selectAtLeast,You must select at least {{x}},Debe seleccionar al menos {{x}},Vous devez sélectionner au moins {{x}},Sie müssen mindestens {{x}} auswählen,Devi selezionare almeno {{x}},Você deve selecionar pelo menos {{x}},Je moet minimaal {{x}} selecteren,Πρέπει να επιλέξετε τουλάχιστον {{x}},Вы должны выбрать как минимум {{x}},En az {{x}} seçmelisiniz,{{x}} 이상을 선택해야합니다,Bạn phải chọn ít nhất {{x}},आपको कम से कम {{x}} का चयन करना होगा,您必须至少选择{{x}},少なくとも{{x}}個選択する必要があります,Morate odabrati najmanje {{x}},Морате одабрати најмање {{к}},Трябва да изберете поне {{x}},Мора да изберете барем {{x}},Musíte vybrat alespoň {{x}},Du skal vælge mindst {{x}},Sinun on valittava vähintään {{x}},Du må velge minst {{x}},Du måste välja åtminstone {{x}},আপনাকে অবশ্যই কমপক্ষে {{x}} select নির্বাচন করতে হবে,Legalább {{x}} -ot kell választania,Anda harus memilih setidaknya {{x}},Trebuie să selectați cel puțin {{x}},Ви повинні вибрати принаймні {{x}},Musisz wybrać co najmniej {{x}},Morate odabrati najmanje {{x}},Jums jāizvēlas vismaz {{x}},Dapat kang pumili ng hindi bababa sa {{x}},आपण किमान {{x}} select निवडणे आवश्यक आहे,તમારે ઓછામાં ઓછું {{x}} select પસંદ કરવું જોઈએ,شما باید حداقل {{x}} select را انتخاب کنید,يجب عليك تحديد {{x}} على الأقل,עליך לבחור לפחות {{x}},آپ کو کم از کم {{x}} select منتخب کرنا چاہئے
